"","addr","code","lat","lng","name","type","created_at","remain_stat","stock_at","remain_stat_kr","구분","시도","시군구","동"
"647","경기도 안양시 만안구 안양로 304 (안양동)","31816631",37.3992732,126.9213605,"새한약국","01","2020/03/14 23:55:00","empty","2020/03/14 10:30:00","1개 이하","약국","경기도","안양시 만안구","안양동"
"648","경상북도 안동시 은행나무로 106-3, (옥동)","37814427",36.5675668,128.6969194,"동부약국","01","2020/03/14 23:55:00","empty","2020/03/14 11:55:00","1개 이하","약국","경상북도","안동시","옥동"
"649","부산광역시 연제구 중앙대로 1092 (연산동)","21832196",35.1850495,129.0812151,"보건당약국","01","2020/03/14 23:55:00","empty","2020/03/14 11:13:00","1개 이하","약국","부산광역시","연제구","연산동"
"650","경남 밀양시 부북면 운전리 487의 1","6158201132",35.5114107,128.729482,"부북농협하나로마트본점","03","2020/03/14 23:55:00","empty","2020/03/14 08:56:00","1개 이하","농협","경상남도","밀양시","부북면"
"651","충청남도 금산군 진산면 읍내로 68","34843248",36.143714,127.370363,"진산종로약국","01","2020/03/14 23:55:00","plenty","2020/03/14 12:30:00","100개 이상","약국","충청남도","금산군","진산면"
"652","제주특별자치도 서귀포시 중앙로 108 (동홍동)","39804054",33.2542228,126.5611294,"조약국","01","2020/03/14 23:55:00","empty","2020/03/14 12:31:00","1개 이하","약국","제주특별자치도","서귀포시","동홍동"
"653","경상남도 합천군 야로면 가야산로 351-1,","38809745",35.7057857,128.1688917,"동일약국","01","2020/03/14 23:55:00","plenty","2020/03/14 12:28:00","100개 이상","약국","경상남도","합천군","야로면"
"654","서울특별시 서초구 잠원로14길 29 125호 (잠원동, 설악복지센타)","12827363",37.5178576,127.0154662,"대영약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:12:00","1개 이하","약국","서울특별시","서초구","잠원동"
"655","인천광역시 남동구 서창남순환로 140 1층 105호 (서창동)","41841662",37.4279312,126.7436649,"오약국","01","2020/03/14 23:55:00","empty","2020/03/13 09:38:00","1개 이하","약국","인천광역시","남동구","서창동"
"656","인천광역시 계양구 계양대로 44 103호,104호 (작전동, 덕용프라자)","41821246",37.5277438,126.7228142,"화생약국","01","2020/03/14 23:55:00","empty","2020/03/14 08:57:00","1개 이하","약국","인천광역시","계양구","작전동"
"657","경기도 하남시 덕풍공원로47번길 16 (덕풍동)","31890091",37.5394951,127.1985883,"정우약국","01","2020/03/14 23:55:00","empty","2020/03/14 13:49:00","1개 이하","약국","경기도","하남시","덕풍동"
"658","서울특별시 도봉구 덕릉로 239 (창동)","12839353",37.6391894,127.0382445,"이화태평양약국","01","2020/03/14 23:55:00","empty","2020/03/14 13:53:00","1개 이하","약국","서울특별시","도봉구","창동"
